"date","bread_hits","state"
2020-04-13,59,"Tennessee"
2020-04-14,66,"Tennessee"
2020-04-15,59,"Tennessee"
2020-04-16,57,"Tennessee"
2020-04-17,50,"Tennessee"
2020-04-18,77,"Tennessee"
2020-04-19,87,"Tennessee"
2020-04-20,55,"Tennessee"
2020-04-21,58,"Tennessee"
2020-04-22,59,"Tennessee"
2020-04-23,66,"Tennessee"
2020-04-24,46,"Tennessee"
2020-04-25,71,"Tennessee"
2020-04-26,67,"Tennessee"
2020-04-27,60,"Tennessee"
2020-04-28,56,"Tennessee"
2020-04-29,54,"Tennessee"
2020-04-30,60,"Tennessee"
2020-05-01,53,"Tennessee"
2020-05-02,49,"Tennessee"
2020-05-03,70,"Tennessee"
2020-05-04,51,"Tennessee"
2020-05-05,54,"Tennessee"
2020-05-06,53,"Tennessee"
2020-05-07,53,"Tennessee"
2020-05-08,56,"Tennessee"
2020-05-09,56,"Tennessee"
2020-05-10,56,"Tennessee"
2020-05-11,45,"Tennessee"
2020-05-12,47,"Tennessee"
2020-05-13,58,"Tennessee"
2020-05-14,45,"Tennessee"
2020-05-15,47,"Tennessee"
2020-05-16,48,"Tennessee"
2020-02-18,36,"South Dakota"
2020-02-19,12,"South Dakota"
2020-02-20,24,"South Dakota"
2020-02-21,25,"South Dakota"
2020-02-22,46,"South Dakota"
2020-02-23,26,"South Dakota"
2020-02-24,29,"South Dakota"
2020-02-25,35,"South Dakota"
2020-02-26,15,"South Dakota"
2020-02-27,18,"South Dakota"
2020-02-28,19,"South Dakota"
2020-02-29,61,"South Dakota"
2020-03-01,29,"South Dakota"
2020-03-02,32,"South Dakota"
2020-03-03,18,"South Dakota"
2020-03-04,36,"South Dakota"
2020-03-05,36,"South Dakota"
2020-03-06,22,"South Dakota"
2020-03-07,36,"South Dakota"
2020-03-08,35,"South Dakota"
2020-03-09,30,"South Dakota"
2020-03-10,24,"South Dakota"
2020-03-11,37,"South Dakota"
2020-03-12,15,"South Dakota"
2020-03-13,28,"South Dakota"
2020-03-14,51,"South Dakota"
2020-03-15,60,"South Dakota"
2020-03-16,55,"South Dakota"
2020-03-17,31,"South Dakota"
2020-03-18,46,"South Dakota"
2020-03-19,30,"South Dakota"
2020-03-20,52,"South Dakota"
2020-03-21,91,"South Dakota"
2020-03-22,87,"South Dakota"
2020-03-23,40,"South Dakota"
2020-03-24,61,"South Dakota"
2020-03-25,51,"South Dakota"
2020-03-26,60,"South Dakota"
2020-03-27,29,"South Dakota"
2020-03-28,53,"South Dakota"
2020-03-29,80,"South Dakota"
2020-03-30,38,"South Dakota"
2020-03-31,54,"South Dakota"
2020-04-01,37,"South Dakota"
2020-04-02,50,"South Dakota"
2020-04-03,35,"South Dakota"
2020-04-04,59,"South Dakota"
2020-04-05,60,"South Dakota"
2020-04-06,34,"South Dakota"
2020-04-07,43,"South Dakota"
2020-04-08,52,"South Dakota"
2020-04-09,70,"South Dakota"
2020-04-10,53,"South Dakota"
2020-04-11,70,"South Dakota"
2020-04-12,99,"South Dakota"
