"date","coronavirus_hits","state"
2020-02-23,4,"Utah"
2020-02-24,7,"Utah"
2020-02-25,9,"Utah"
2020-02-26,13,"Utah"
2020-02-27,16,"Utah"
2020-02-28,18,"Utah"
2020-02-29,19,"Utah"
2020-03-01,19,"Utah"
2020-03-02,22,"Utah"
2020-03-03,21,"Utah"
2020-03-04,19,"Utah"
2020-03-05,20,"Utah"
2020-03-06,21,"Utah"
2020-03-07,26,"Utah"
2020-03-08,24,"Utah"
2020-03-09,26,"Utah"
2020-03-10,28,"Utah"
2020-03-11,37,"Utah"
2020-03-12,100,"Utah"
2020-03-13,84,"Utah"
2020-03-14,70,"Utah"
2020-03-15,91,"Utah"
2020-03-16,79,"Utah"
2020-03-17,73,"Utah"
2020-03-18,47,"Utah"
2020-03-19,52,"Utah"
2020-03-20,57,"Utah"
2020-03-21,57,"Utah"
2020-03-22,62,"Utah"
2020-03-23,57,"Utah"
2020-03-24,50,"Utah"
2020-03-25,51,"Utah"
2020-03-26,49,"Utah"
2020-03-27,52,"Utah"
2020-03-28,51,"Utah"
2020-03-29,51,"Utah"
2020-03-30,47,"Utah"
2020-03-31,39,"Utah"
2020-04-01,41,"Utah"
2020-04-02,40,"Utah"
2020-04-03,47,"Utah"
2020-04-04,49,"Utah"
2020-04-05,50,"Utah"
2020-04-06,51,"Utah"
2020-04-07,48,"Utah"
2020-04-08,40,"Utah"
2020-04-09,39,"Utah"
2020-04-10,39,"Utah"
2020-04-11,31,"Utah"
2020-04-12,28,"Utah"
2020-04-13,35,"Utah"
2020-04-14,36,"Utah"
2020-04-15,33,"Utah"
2020-04-16,32,"Utah"
2020-04-17,32,"Utah"
2020-04-18,35,"Utah"
2020-04-19,24,"Utah"
2020-04-20,28,"Utah"
2020-04-21,29,"Utah"
2020-04-22,21,"Utah"
2020-04-23,27,"Utah"
2020-04-24,28,"Utah"
2020-04-25,20,"Utah"
2020-04-26,18,"Utah"
2020-04-27,16,"Utah"
2020-04-28,16,"Utah"
2020-04-29,16,"Utah"
2020-04-30,14,"Utah"
2020-05-01,14,"Utah"
2020-05-02,13,"Utah"
2020-05-03,14,"Utah"
2020-05-04,13,"Utah"
2020-05-05,14,"Utah"
2020-05-06,12,"Utah"
2020-05-07,12,"Utah"
2020-05-08,13,"Utah"
2020-05-09,12,"Utah"
2020-05-10,14,"Utah"
2020-05-11,14,"Utah"
2020-05-12,11,"Utah"
2020-05-13,11,"Utah"
2020-05-14,11,"Utah"
2020-05-15,11,"Utah"
2020-05-16,11,"Utah"
2020-02-18,4,"Texas"
2020-02-19,4,"Texas"
2020-02-20,3,"Texas"
2020-02-21,3,"Texas"
2020-02-22,4,"Texas"
2020-02-23,5,"Texas"
2020-02-24,7,"Texas"
2020-02-25,11,"Texas"
2020-02-26,17,"Texas"
2020-02-27,19,"Texas"
2020-02-28,19,"Texas"
2020-02-29,21,"Texas"
2020-03-01,18,"Texas"
2020-03-02,26,"Texas"
2020-03-03,27,"Texas"
2020-03-04,24,"Texas"
2020-03-05,30,"Texas"
2020-03-06,28,"Texas"
2020-03-07,28,"Texas"
2020-03-08,26,"Texas"
2020-03-09,34,"Texas"
2020-03-10,37,"Texas"
2020-03-11,52,"Texas"
2020-03-12,100,"Texas"
2020-03-13,95,"Texas"
2020-03-14,79,"Texas"
2020-03-15,97,"Texas"
2020-03-16,96,"Texas"
2020-03-17,93,"Texas"
2020-03-18,83,"Texas"
2020-03-19,79,"Texas"
2020-03-20,75,"Texas"
2020-03-21,73,"Texas"
2020-03-22,76,"Texas"
2020-03-23,72,"Texas"
